experiment,variant,n,median_ns,p99_ns,min_ns,mean_ns,iters,inner_reps,below_timer_resolution,ops,bytes_touched,notes
prefix,fenwick_clustered,2097152,36200.0,64200.0,29100.0,41620.0,5,1,False,1008,0,specialist prefix index on dense keys; extra ~8n bytes
prefix,row_scan_shuffled,2097152,584419500.0,586059100.0,574750800.0,581743133.3333334,3,1,False,100663296,6442450944,"64-byte rows, scan every record"
prefix,col_scan_shuffled,2097152,268691400.0,283221000.0,268675300.0,273529233.3333333,3,1,False,100663296,805306368,"8-byte columns, still every record"
prefix,row_blocks_shuffled,2097152,623148700.0,631126600.0,608542500.0,620939266.6666666,3,1,False,48,0,"512-row min/max/sum; clustered can skip, shuffled cannot"
prefix,col_blocks_shuffled,2097152,295381200.0,297051600.0,289962300.0,294131700.0,3,1,False,48,0,column layout plus block summaries
prefix,fenwick_build_shuffled,2097152,32793100.0,33623200.0,30574100.0,32515000.0,5,1,False,2097152,16777216,"Fenwick construction, charged separately from the stream"
prefix,fenwick_shuffled,2097152,39700.0,218300.0,25500.0,86340.0,5,1,False,1008,0,specialist prefix index on dense keys; extra ~8n bytes
ranking_cert,coverage_dim2,4096,37050500.0,37050500.0,37050500.0,37050500.0,1,1,False,50,0,sufficient bounds vs actual stability; high dim should reject many true stables
ranking_cert,coverage_dim8,4096,52912200.0,52912200.0,52912200.0,52912200.0,1,1,False,50,0,sufficient bounds vs actual stability; high dim should reject many true stables
ranking_cert,coverage_dim32,4096,119790300.0,119790300.0,119790300.0,119790300.0,1,1,False,50,0,sufficient bounds vs actual stability; high dim should reject many true stables
answer_cells,brute_scan_pareto,20000,295464100.0,300365600.0,273105400.0,288882433.3333333,6,1,False,240000000,3840000000,full scan per parameterized ranking; integer millunits
answer_cells,cell_lookup_pareto,20000,126599.99999999999,171100.0,124600.0,131210.0,10,1,False,12000,384000,O(log cells) exact winner; smaller-index ties
answer_cells,mixed_small_drift_pareto,20000,240000.0,240900.0,239100.0,239775.0,4,1,False,12000,0,certificate reused until drift consumes the gap
answer_cells,mixed_large_drift_pareto,20000,1465413400.0,1481020000.0,1405973200.0,1440612325.0,4,1,False,12000,0,certificate reused until drift consumes the gap
answer_cells,brute_scan_random,20000,620911600.0,628222100.0,604608300.0,616690850.0,6,1,False,240000000,3840000000,full scan per parameterized ranking; integer millunits
answer_cells,cell_lookup_random,20000,228400.0,236100.0,228000.0,229310.0,10,1,False,12000,384000,O(log cells) exact winner; smaller-index ties
answer_cells,mixed_small_drift_random,20000,1294251400.0,1307953700.0,1263568499.9999998,1284961225.0,4,1,False,12000,0,certificate reused until drift consumes the gap
answer_cells,mixed_large_drift_random,20000,1916633000.0,1938628800.0,1867521700.0,1908683525.0,4,1,False,12000,0,certificate reused until drift consumes the gap
answer_cells,brute_scan_near_tie,20000,626026500.0,632104900.0,531049400.0,603338616.6666666,6,1,False,240000000,3840000000,full scan per parameterized ranking; integer millunits
answer_cells,cell_lookup_near_tie,20000,126400.00000000001,180400.0,114100.0,129440.0,10,1,False,12000,384000,O(log cells) exact winner; smaller-index ties
answer_cells,mixed_small_drift_near_tie,20000,23774790900.0,23774790900.0,23774790900.0,23774790900.0,1,1,False,12000,0,certificate reused until drift consumes the gap
answer_cells,mixed_large_drift_near_tie,20000,23944622300.0,23944622300.0,23944622300.0,23944622300.0,1,1,False,12000,0,certificate reused until drift consumes the gap
